screen	pathway	evaluable_genes_n	observed_mean_normalized_rank	observed_median_normalized_rank	null_mean_normalized_rank	rank_enrichment_ratio	empirical_p_one_sided	fraction_top_1pct	fraction_top_5pct	fraction_top_10pct	n_permutations	FDR_within_screen	biological_domain	preregistered_domain	RSV_replicated	shared_infection_response	pathogen_differential	pathogen_shift
IAV_P01	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	109	0.20479748944194157	0.08311006615998688	0.49993725616390455	2.441129808408285	9.999000099990002e-05	0.1559633027522936	0.3761467889908257	0.5321100917431193	10000	0.00032937882682320004	Translation_ribosome	Translation	False	False	True	RSV_shifted
IAV_P01	REACTOME_TCR_SIGNALING	103	0.42722852667023037	0.4424517469517196	0.5006867908292268	1.171941383997744	0.0045995400459954	0.019417475728155338	0.14563106796116504	0.20388349514563106	10000	0.009539786762064533	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	True	RSV_shifted
IAV_P01	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	86	0.389268806894982	0.2723494996992728	0.49929228478930654	1.2826413931594756	0.00019998000199980003	0.023255813953488372	0.18604651162790697	0.26744186046511625	10000	0.0006221600062216001	Cytokine_inflammation	Innate_Cytokine	False	False	True	RSV_shifted
IAV_P01	REACTOME_TRANSLATION	328	0.3117494322190201	0.21477390781343977	0.500060778986836	1.6040471202382736	9.999000099990002e-05	0.06707317073170732	0.24085365853658536	0.375	10000	0.00032937882682320004	Translation_ribosome	Translation	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	53	0.5591783125313473	0.5533562822719449	0.5004209523629107	0.8949219616503945	0.933006699330067	0.0	0.018867924528301886	0.09433962264150944	10000	1.0	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	220	0.5358977033675829	0.5402562631478294	0.5002216531928579	0.9334274994079345	0.9683031696830317	0.00909090909090909	0.04090909090909091	0.08636363636363636	10000	1.0	Mitochondrial_energy	Metabolism	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	30	0.46525466947153693	0.4549388028303691	0.5001336987633073	1.0749676071631649	0.2565743425657434	0.03333333333333333	0.03333333333333333	0.1	10000	1.0	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	False	Not_significant
RSV_P01_viability_POS	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	29	0.5014936593665301	0.5951424746605469	0.49952957264196357	0.9960835263061002	0.51994800519948	0.0	0.10344827586206896	0.10344827586206896	10000	1.0	Antigen_adaptive_immunity	Antigen_Presentation	True	True	False	Not_significant
RSV_P01_viability_POS	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	95	0.5234743485219071	0.5485752533945305	0.5000607878129057	0.9552727640330183	0.7852214778522147	0.0	0.021052631578947368	0.06315789473684211	10000	1.0	Antigen_adaptive_immunity	Antigen_Presentation	True	True	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	289	0.49521384268330537	0.5123350545037292	0.5001242369378651	1.0099157047548446	0.38666133386661333	0.010380622837370242	0.03806228373702422	0.10034602076124567	10000	1.0	Antigen_adaptive_immunity	Antigen_Presentation	False	True	False	Not_significant
RSV_P01_viability_POS	REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	19	0.5222468822659058	0.48340982979537195	0.5003054614447766	0.9579864972559903	0.6283371662833717	0.0	0.0	0.05263157894736842	10000	1.0	Antigen_adaptive_immunity	Antigen_Presentation	True	True	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	155	0.5342105750189698	0.5601453432778734	0.49988480891307163	0.9357448771869046	0.9352064793520648	0.01935483870967742	0.05161290322580645	0.08387096774193549	10000	1.0	Other	Interferon	True	True	False	Not_significant
RSV_P01_viability_POS	REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	42	0.4931710970867597	0.53282176324345	0.49978091538489555	1.0134026879052342	0.44425557444255576	0.0	0.09523809523809523	0.11904761904761904	10000	1.0	Translation_ribosome	Antigen_Presentation	False	False	False	Not_significant
RSV_P01_viability_POS	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	365	0.49298786797548977	0.5114744693057947	0.5000367536551948	1.0142982944157473	0.3224677532246775	0.00821917808219178	0.0410958904109589	0.0958904109589041	10000	1.0	Antigen_adaptive_immunity	Antigen_Presentation	True	True	False	Not_significant
RSV_P01_viability_POS	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	40	0.5622537770128131	0.5464716006884681	0.5002380180244789	0.8897014808547548	0.916108389161084	0.0	0.0	0.05	10000	1.0	Antigen_adaptive_immunity	Antigen_Presentation	True	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	79	0.5522639079524851	0.5454675846242111	0.5004157609340315	0.9061170823009596	0.9443055694430557	0.02531645569620253	0.0379746835443038	0.05063291139240506	10000	1.0	Interferon_antiviral	Interferon	True	True	False	Not_significant
RSV_P01_viability_POS	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	48	0.5921951695671576	0.5878992159112642	0.49915712512749416	0.8428929359426116	0.987001299870013	0.0	0.0	0.041666666666666664	10000	1.0	Cytokine_inflammation	Innate_Cytokine	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	67	0.5595537801525934	0.5485752533945305	0.4997596346294917	0.8931395915030803	0.9521047895210479	0.0	0.029850746268656716	0.08955223880597014	10000	1.0	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_DOWNSTREAM_TCR_SIGNALING	81	0.5301181209257961	0.5599062918340026	0.5001490488113536	0.9434671803670761	0.8231176882311769	0.012345679012345678	0.04938271604938271	0.1111111111111111	10000	1.0	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	94	0.6209284961527977	0.6734318225282081	0.5000862325695894	0.8053845743399873	1.0	0.010638297872340425	0.0425531914893617	0.07446808510638298	10000	1.0	Translation_ribosome	Translation	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	120	0.628798925862179	0.677065404475043	0.5001345551651049	0.7953807403206745	1.0	0.008333333333333333	0.03333333333333333	0.058333333333333334	10000	1.0	Translation_ribosome	Translation	False	False	True	RSV_shifted
RSV_P01_viability_POS	REACTOME_EVASION_BY_RSV_OF_HOST_INTERFERON_RESPONSES	32	0.4717784829795372	0.45804647160068845	0.4995794185671257	1.0589279430719487	0.29587041295870414	0.0	0.03125	0.09375	10000	1.0	Interferon_antiviral	Interferon	False	False	False	Not_significant
RSV_P01_viability_POS	REACTOME_FATTY_ACIDS	15	0.44958883151654233	0.5537387645821381	0.5008814926372155	1.114087934408099	0.24477552244775522	0.0	0.06666666666666667	0.13333333333333333	10000	1.0	Metabolism	Metabolism	False	False	False	Not_significant
