gene_symbol	proteomics_architecture_class	flu_logFC	flu_FDR	rsv6884_logFC	rsv6884_FDR	rsv10558_logFC	rsv10558_FDR	flu_vs_rsv_logFC	flu_vs_rsv_FDR	iav_screen_p	iav_rank	iav_percentile	iav_validation_p	iav_combined_p	iav_combined_fdr	iav_multiple_sgrna_support	iav_primary_hit	rsv_viability_pos_rank	rsv_viability_pos_p	rsv_viability_pos_fdr	rsv_viability_pos_lfc	rsv_viability_neg_rank	rsv_viability_neg_p	rsv_viability_neg_fdr	rsv_viability_neg_lfc	rsv_viability_pos_percentile	rsv_viability_neg_percentile	rsv_early_pos_rank	rsv_early_pos_p	rsv_early_pos_fdr	rsv_early_pos_lfc	rsv_early_neg_rank	rsv_early_neg_p	rsv_early_neg_fdr	rsv_early_neg_lfc	rsv_early_pos_percentile	rsv_early_neg_percentile	iav_top1pct	iav_top5pct	iav_top10pct	rsv_viability_pos_top1pct	rsv_viability_pos_top5pct	rsv_viability_pos_top10pct	rsv_viability_neg_top1pct	rsv_viability_neg_top5pct	rsv_viability_neg_top10pct	rsv_early_pos_top1pct	rsv_early_pos_top5pct	rsv_early_pos_top10pct	rsv_early_neg_top1pct	rsv_early_neg_top5pct	rsv_early_neg_top10pct
AXUD1	shared_core	0.804020894725706	0.0001172649210406	0.535426772145771	2.85966283466457e-05	0.790969469326117	0.0488394930653882	0.268594122579936	0.19568412529319								False																					False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
B4GALT5	shared_core	0.792257244295687	0.0016790902067682	0.7784836726601	2.64750581242122e-07	1.15136311165933	0.0090306039705597	0.0137735716355873	0.969524847273604	1.0	12585.0	0.6881185411996282				False	False	20208.0	0.97224	0.999999	-2.86e-06	5682.0	0.26589	0.959856	-2.86e-06	0.9661503155479059	0.2716580608146873	18439.0	0.8858	0.999997	-1.51e-06	212.0	0.0056617	0.523986	-1.51e-06	0.8816160650251016	0.010136265837915371	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True
BATF	shared_core	0.659188312488098	0.0001690312825231	0.743412285981316	1.06515873564134e-11	0.883178890478913	0.0411587543657484	-0.0842239734932182	0.69786209876235	0.79352513	8490.0	0.46421346164361094				False	False	2982.0	0.14609	0.999999	5.85e-06	20432.0	0.98269	0.999988	5.85e-06	0.142570281124498	0.9768598202333142	13844.0	0.67122	0.999997	2.77e-06	19289.0	0.9392	0.999999	2.77e-06	0.6619172842457567	0.9222567535261774	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BLVRA	shared_core	1.22041064489936	3.21010237713303e-06	1.08615219518873	5.7911201827664286e-11	1.16018656430593	0.0109248758440364	0.134258449710634	0.683223397197176	0.76819289	7747.0	0.4235879490404068				False	False	9715.0	0.47011	0.999999	2.03e-05	18805.0	0.91619	0.999988	2.03e-05	0.46447695544081086	0.8990724803977816	17422.0	0.83769	0.999997	-1.75e-06	13782.0	0.68284	0.999999	-1.75e-06	0.8329906765479321	0.6589529046139134	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BST1	shared_core	0.986366834236325	0.0012615497004818	1.26998589889707	1.3273051947162698e-11	1.60949028770159	0.0004556017913089	-0.283619064660747	0.37715606044423	1.0	12679.0	0.6932582426595221				False	False	12270.0	0.59379	0.999999	-5.25e-06	14099.0	0.69378	0.999988	-5.25e-06	0.5866322432587493	0.674077261426659	2394.0	0.11702	0.999997	5.26e-07	7627.0	0.36766	0.995559	5.26e-07	0.11446330384891226	0.36466650729141764	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
BTK	shared_core	0.372391426336081	0.0265582032436557	0.280479252880699	0.0044255338269682	0.640858899138262	0.0429850002251874	0.0919121734553823	0.620839047540392	0.53653455	3224.0	0.17628082453934057				False	False	13140.0	0.63583	0.999999	2.4e-06	13046.0	0.64071	0.999988	2.4e-06	0.6282271944922547	0.6237330273474851	7231.0	0.35111	0.999997	1.69e-06	16294.0	0.80773	0.999999	1.69e-06	0.34573272770738706	0.7790580922782692	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
C16orf57	shared_core	0.537347143612874	0.0040590211656336	0.477313077262777	1.61533128643925e-05	0.772985947044308	0.0373407339371691	0.0600340663500969	0.806109170905418								False																					False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
C16orf7	shared_core	0.656618654282643	0.0015445622640115	0.322393304557023	0.0128527842654278	0.80382408525393	0.0136861389834591	0.33422534972562	0.0807135259235366								False																					False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
C1orf85	shared_core	0.695871602707486	3.51477607717272e-05	0.470991550905355	5.72498290512257e-06	0.822352725416582	0.0300719487961374	0.224880051802131	0.179755798262911								False	5905.0	0.2878	0.999999	-5.26e-06	1500.0	0.064098	0.867746	-5.26e-06	0.28231975521132147	0.0717154331612163	14845.0	0.71728	0.999997	-1.89e-07	11041.0	0.54415	0.999999	-1.89e-07	0.7097776715276117	0.5278986373416208	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
C3AR1	shared_core	1.51281312730492	1.15844120399928e-05	1.27075113195883	3.7410985798879705e-09	1.30432426405486	0.0011938972057623	0.242061995346086	0.545544347260427								False	20583.0	0.98873	0.999999	-8.73e-06	1196.0	0.050416	0.85456	-8.73e-06	0.98407917383821	0.05718110537387646	1281.0	0.063311	0.999997	-2.14e-06	7970.0	0.38541	0.998112	-2.14e-06	0.061247908199856566	0.3810662204159694	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False
