screen	TF	evaluable_targets_n	observed_mean_normalized_rank	observed_median_normalized_rank	null_mean_normalized_rank	rank_enrichment_ratio	empirical_p_one_sided	fraction_top_1pct	fraction_top_5pct	fraction_top_10pct	n_permutations	FDR_within_screen
RSV_P01_viability_POS	ATF3	20	0.49719831707783524	0.5070998278829604	0.4993808268789444	1.0043896162278592	0.48685131486851313	0.0	0.0	0.1	10000	0.9900009999000099
RSV_P01_viability_POS	CEBPA	28	0.49290529464797966	0.5006215337540638	0.4997332095388356	1.0138523869899434	0.45165483451654836	0.0	0.07142857142857142	0.17857142857142858	10000	0.9900009999000099
RSV_P01_viability_POS	CEBPB	53	0.5109476540483587	0.5282080703767451	0.4996171838296583	0.9778245968468072	0.6147385261473852	0.0	0.03773584905660377	0.11320754716981132	10000	0.9900009999000099
RSV_P01_viability_POS	CEBPG	33	0.5728817144479794	0.6160833811436222	0.5013386175292802	0.8751171574962258	0.9238076192380762	0.0	0.0	0.06060606060606061	10000	0.9900009999000099
RSV_P01_viability_POS	CREB1	54	0.5073255986910605	0.4715289730349971	0.49953056768520293	0.9846350528615757	0.5807419258074192	0.0	0.037037037037037035	0.05555555555555555	10000	0.9900009999000099
RSV_P01_viability_POS	CTNNB1	34	0.57610413643369	0.6217249952189712	0.4995449322500084	0.8671087406912004	0.9368063193680632	0.0	0.0	0.08823529411764706	10000	0.9900009999000099
RSV_P01_viability_POS	EGR1	34	0.5125389513235014	0.5518263530311723	0.4996788099175414	0.9749089481438398	0.6007399260073992	0.029411764705882353	0.058823529411764705	0.14705882352941177	10000	0.9900009999000099
RSV_P01_viability_POS	ESR1	89	0.49039228073342056	0.5087014725568942	0.4995717030239739	1.0187185293308956	0.38706129387061294	0.011235955056179775	0.02247191011235955	0.07865168539325842	10000	0.9900009999000099
RSV_P01_viability_POS	FOS	41	0.46580165027123593	0.45027729967489005	0.5000605745863826	1.0735483103058947	0.22137786221377861	0.024390243902439025	0.04878048780487805	0.12195121951219512	10000	0.9900009999000099
RSV_P01_viability_POS	FOXO3	31	0.5453812176509416	0.5880187416331994	0.49943080524864436	0.9157462506680846	0.8149185081491851	0.0	0.06451612903225806	0.0967741935483871	10000	0.9900009999000099
RSV_P01_viability_POS	HIF1A	64	0.5323615892139988	0.497681200994454	0.5003375307031699	0.9398452871888999	0.8124187581241876	0.0	0.015625	0.0625	10000	0.9900009999000099
RSV_P01_viability_POS	HMGA1	12	0.4428627207241665	0.3628322815069803	0.5005556973927456	1.1302728226350593	0.24907509249075094	0.0	0.0	0.16666666666666666	10000	0.9900009999000099
RSV_P01_viability_POS	HNF4A	37	0.5828746129950948	0.6160833811436222	0.499540678285859	0.8570293973157875	0.9585041495850415	0.0	0.02702702702702703	0.05405405405405406	10000	0.9900009999000099
